Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
51,split,,15,4,15,6661.34821660004,444.08988110667,0.130365625,1,4767.34821660004,275,1490,129,25,0,4,56,3341.5426075447,1425.80560905534,2,0
52,base,,14,8,14,7412.75977970877,529.48284140777,0.1320535,1,5256.75977970877,293,1595,268,25,0,8,40,3020.67650574715,2236.08327396162,NaN,NaN
52,split,,14,8,14,7412.75977970877,529.48284140777,0.130236125,1,5256.75977970877,293,1595,268,25,0,8,40,3020.67650574715,2236.08327396162,4,0
53,base,,14,6,14,6599.07082868971,471.362202049265,0.127993541666667,1,4691.07082868971,270,1460,178,25,0,6,53,3338.54179417725,1352.52903451246,NaN,NaN
53,split,,14,6,14,6484.15997978285,463.154284270203,0.124075333333333,1,4667.15997978285,267,1450,100,25,0,2,51,3336.61596360022,1330.54401618263,2,1
54,base,,11,1,11,6564.29519341894,596.754108492631,0.157490208333333,1,4260.29519341894,350,1860,94,25,0,3,45,3197.67989753829,1062.61529588064,NaN,NaN
54,split,,11,1,11,6527.68692957711,593.42608450701,0.132064416666667,1,4250.68692957711,350,1860,67,25,0,1,45,3198.65701952594,1052.02991005117,0,0
55,base,,11,7,11,7360.63984786658,669.14907707878,0.132896583333333,1,4942.63984786658,345,1865,208,25,0,6,35,3002.37486338683,1940.26498447974,NaN,NaN
55,split,,11,7,11,7148.18939263128,649.835399330116,0.128484541666667,1,4788.18939263128,343,1860,157,25,0,4,34,3005.42580290047,1782.76358973081,4,0
56,base,,15,6,15,7333.55254415984,488.903502943989,0.135218041666667,1,5172.55254415984,299,1625,237,25,0,8,54,3002.60119205806,2169.95135210178,NaN,NaN
56,split,,15,6,15,7333.55254415984,488.903502943989,0.129525041666667,1,5172.55254415984,299,1625,237,25,0,8,54,3002.60119205806,2169.95135210178,4,0
